name,category,subtypes,phone,website,address,street,city,state,postal_code,country,country_code,rating,reviews,business_status,working_hours,description,about,latitude,longitude,place_id,google_id,domain,email,company_instagram,company_facebook,booking_appointment_link,verified,photos_count,reviews_per_score_5,reviews_per_score_4
Inspired Wellness,Wellness center,"Wellness center, Acupuncturist, Counselor, Naturopathic practitioner, Nutritionist, Osteopath, Physiotherapist",+1 416-214-9251,https://www.inspiredwellnessclinic.com/,"822 Richmond St W #102, Toronto, ON M6J 1C9",822 Richmond St W #102,Toronto,Ontario,M6J 1C9,Canada,CA,4.9,98,OPERATIONAL,"{""Monday"": [""10a.m.-6p.m.""], ""Tuesday"": [""9a.m.-7p.m.""], ""Wednesday"": [""9a.m.-7p.m.""], ""Thursday"": [""9a.m.-7p.m.""], ""Friday"": [""9a.m.-7p.m.""], ""Saturday"": [""9a.m.-5p.m.""], ""Sunday"": [""Closed""]}",,"{""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.6447866,-79.4111787,ChIJS49on9s0K4gRT9sG9Kw7QNs,0x882b34db9f688f4b:0xdb403bacf406db4f,inspiredwellnessclinic.com,admin@drdarou.com,,,https://inspiredwellnessclinic.janeapp.com/locations/inspired-wellness-clinic/book?rwg_token=AFd1xnEFq5fz7xWzv_CB9JpR7gvPJGNxcwjRwur_tLuf6GOh8h2IgsuRUkHFD30x0hF3H82V7P0x-ntVDOLN5xWcyQZsQMOrTDbssVsLuSXkaZRriWJt79Y%3D,True,38,95,1
REVIV IV Therapy at MyBest Clinic,Medical spa,Medical spa,+1 833-697-3848,https://mybestclinic.com/reviv-iv-therapy/,"642 King St W #101, Toronto, ON M5V 1M7",642 King St W #101,Toronto,Ontario,M5V 1M7,Canada,CA,4.6,51,OPERATIONAL,"{""Monday"": [""Closed""], ""Tuesday"": [""10a.m.-6p.m.""], ""Wednesday"": [""10a.m.-6p.m.""], ""Thursday"": [""10a.m.-6p.m.""], ""Friday"": [""10a.m.-6p.m.""], ""Saturday"": [""10a.m.-6p.m.""], ""Sunday"": [""10a.m.-6p.m.""]}",,"{""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.6444618,-79.4015876,ChIJs7iqT940K4gR7eh70KkIu_I,0x882b34de4faab8b3:0xf2bb08a9d07be8ed,mybestclinic.com,steph@mybestclinic.com,https://www.instagram.com/mybestclinic,https://www.facebook.com/MybestClinics,https://mybestclinic.janeapp.com/locations/mybest-clinic-toronto/book#/reviv-iv-therapy-or-booster-shots,True,77,45,0
Upper Room Clinic,Doctor,"Medical spa, Alternative medicine practitioner, Medical clinic, Doctor, Pain management physician, Sleep clinic",+1 647-521-8024,https://upperroomclinic.com/,"1849 Yonge St #810, Toronto, ON M4S 1Y2",1849 Yonge St #810,Toronto,Ontario,M4S 1Y2,Canada,CA,4.7,62,OPERATIONAL,"{""Monday"": [""10a.m.-6p.m.""], ""Tuesday"": [""11a.m.-6p.m.""], ""Wednesday"": [""11a.m.-6p.m.""], ""Thursday"": [""11a.m.-6p.m.""], ""Friday"": [""11a.m.-6p.m.""], ""Saturday"": [""11a.m.-6p.m.""], ""Sunday"": [""Closed""]}",,"{""Service options"": {""Language assistance"": ""English, Filipino""}, ""Accessibility"": {""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.6969498,-79.3958712,ChIJVbfUcl01K4gRyTMaBgUMNTE,0x882b355d72d4b755:0x31350c05061a33c9,upperroomclinic.com,jane@upperroomclinic.com,,,https://intakeq.com/booking/yjnem2,True,25,55,1
The Gold Clinic,Medical Center,"Medical clinic, Medical Center",+1 289-834-4653,http://www.ivremedy.ca/,"25 Sawyer Rd, Hamilton, ON L8L 3R7",25 Sawyer Rd,Hamilton,Ontario,L8L 3R7,Canada,CA,5,87,OPERATIONAL,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Closed""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Open 24 hours""]}",,"{""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.2654928,-79.8524756,ChIJG6UPzGOdLIgRtSkpsnL8u0I,0x882c9d63cc0fa51b:0x42bbfc72b22929b5,,,,,,True,6,87,0
Revive Wellness Club,Spa and health club,"Wellness center, IV therapy service, Massage therapist, Reiki therapist, Sauna, Spa and health club",+1 647-348-9882,https://www.revivewellnessclub.ca/,"2100 Bloor St W Unit 13, Toronto, ON M6S 1M7",2100 Bloor St W Unit 13,Toronto,Ontario,M6S 1M7,Canada,CA,4.9,56,OPERATIONAL,"{""Monday"": [""10:45a.m.-3:45p.m."", ""5-9p.m.""], ""Tuesday"": [""10:45a.m.-3:45p.m."", ""5-9p.m.""], ""Wednesday"": [""10:45a.m.-3:45p.m."", ""5-9p.m.""], ""Thursday"": [""10:45a.m.-3:45p.m."", ""5-9p.m.""], ""Friday"": [""10:45a.m.-10p.m.""], ""Saturday"": [""8a.m.-10p.m.""], ""Sunday"": [""9a.m.-8p.m.""]}",,"{""Offerings"": {""Sauna"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Membership"": true, ""Online scheduling"": true, ""Washroom"": true, ""Restaurant"": false}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",43.6527011,-79.4702874,ChIJV1WXXWk3K4gRg7xkdemdLBg,0x882b37695d975557:0x182c9de97564bc83,revivewellnessclub.ca,highpark@revivewellnessclub.ca,https://www.instagram.com/revive.highpark.ca,https://www.facebook.com/revivehighpark,,True,15,55,0
Pureté Medical Spa,Medical spa,"Medical spa, IV therapy service",+1 416-887-5160,https://www.puretemedspa.ca/,"2731 Lake Shore Blvd W, Etobicoke, ON M8V 1G9",2731 Lake Shore Blvd W,CA,Ontario,M8V 1G9,Canada,CA,5,17,OPERATIONAL,"{""Monday"": [""10a.m.-7p.m.""], ""Tuesday"": [""10a.m.-7p.m.""], ""Wednesday"": [""10a.m.-7p.m.""], ""Thursday"": [""10a.m.-7p.m.""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid parking lot"": true, ""Paid street parking"": true}, ""Other"": {""Identifies as women-owned"": true}}",43.6022159,-79.4980872,ChIJn-u4iKlJK4gR3_si2yxYWdg,0x882b49a988b8eb9f:0xd859582cdb22fbdf,puretemedspa.ca,info@puretehealth.ca,,,https://purete.janeapp.com/locations/purete-medical-spa/book?rwg_token=AFd1xnFDEokXlMJ3rr8g27mgenHV2IpvKellMelysTZX-7X3Z712S_iQcY7OuSF06LAR0LGAI41IqKGW1nXl9nFbvVErEHLh3uDMTztre-Q7P9r71pB7pJE%3D,True,128,17,0
Wellness Haus,Medical clinic,"Wellness center, Medical Center, Sauna, Skin care clinic, Weight loss service, Medical clinic, Wellness program",+1 437-826-1959,http://wellnesshaus.com/,"413 Spadina Rd, Toronto, ON M5P 2W1",413 Spadina Rd,Toronto,Ontario,M5P 2W1,Canada,CA,4.8,249,OPERATIONAL,"{""Monday"": [""9a.m.-5p.m.""], ""Tuesday"": [""9a.m.-5p.m.""], ""Wednesday"": [""9a.m.-5p.m.""], ""Thursday"": [""9a.m.-5p.m.""], ""Friday"": [""9a.m.-5p.m.""], ""Saturday"": [""9a.m.-5p.m.""], ""Sunday"": [""9a.m.-5p.m.""]}",,"{""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Sauna"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true, ""Restaurant"": false}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.6885902,-79.4123089,ChIJ70XduBczK4gRqpnG4U5QvZc,0x882b3317b8dd45ef:0x97bd504ee1c699aa,wellnesshaus.com,info@wellnesshaus.com,https://www.instagram.com/wellnesshausclinic,,https://wellnesshaus.com/service/consultation,True,36,230,9
LifeMed Clinic,Medical Center,"Medical Center, Acupuncturist, Chiropractor, Massage therapist, Naturopathic practitioner, Orthotics & prosthetics service, Physiotherapist",+1 416-922-8688,http://www.lifemedclinic.com/,"598A Yonge St, Toronto, ON M4Y 1Z3",598A Yonge St,Toronto,Ontario,M4Y 1Z3,Canada,CA,4.8,43,OPERATIONAL,"{""Monday"": [""Closed""], ""Tuesday"": [""3-9p.m.""], ""Wednesday"": [""Closed""], ""Thursday"": [""Closed""], ""Friday"": [""3-9p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""English, Vietnamese""}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true}, ""Payments"": {""Cash-only"": true, ""Checks"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6655554,-79.3850656,ChIJJ4Ajz7M0K4gRE7tKwMTS4Lg,0x882b34b3cf238027:0xb8e0d2c4c04abb13,lifemedclinic.com,info@lifemedclinic.com,,,https://www.lifemedclinic.com/contact-us,True,27,40,1
"Welcome to Body In Tune Wellness & IV Lounge, formerly West End Women's Health",IV therapy service,"IV therapy service, Acupuncture clinic, Acupuncturist, Chiropractor, Facial spa, Massage therapist, Women's health clinic, Physiotherapist, Physiotherapy Center, Weight loss service",+1 416-604-0000,https://westendwomenshealth.ca/,"2477 Bloor St W 2nd Floor, Toronto, ON M6S 1P7",2477 Bloor St W 2nd Floor,Toronto,Ontario,M6S 1P7,Canada,CA,4.9,106,OPERATIONAL,"{""Monday"": [""9a.m.-9p.m.""], ""Tuesday"": [""9a.m.-9p.m.""], ""Wednesday"": [""9a.m.-9p.m.""], ""Thursday"": [""9a.m.-9p.m.""], ""Friday"": [""9a.m.-9p.m.""], ""Saturday"": [""9a.m.-3p.m.""], ""Sunday"": [""9a.m.-3p.m.""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Nursing room"": true}, ""Parking"": {""Paid parking lot"": true, ""Paid street parking"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6487454,-79.4849948,ChIJNdRjU3I3K4gRRIMfvWAQq_E,0x882b37725363d435:0xf1ab1060bd1f8344,westendwomenshealth.ca,hello@westendwomenshealth.ca,https://www.instagram.com/westendwomenshealth,https://www.facebook.com/people/,https://westendwomenshealth.ca/contact-us/,True,60,104,0
Lococo Wellness Clinic,Naturopathic practitioner,"Medical spa, Acupuncture clinic, Alternative medicine practitioner, Health consultant, Naturopathic practitioner, Nutritionist, Vitamin & supplements store, Wellness center, Wellness program",+1 905-664-8500,http://lococowellnessclinic.ca/,"302 Grays Rd, Hamilton, ON L8E 1V5",302 Grays Rd,Hamilton,Ontario,L8E 1V5,Canada,CA,4.5,65,OPERATIONAL,"{""Monday"": [""11a.m.-8p.m.""], ""Tuesday"": [""11a.m.-5p.m.""], ""Wednesday"": [""11a.m.-8p.m.""], ""Thursday"": [""11a.m.-5p.m.""], ""Friday"": [""11a.m.-7p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.2314808,-79.7401409,ChIJrWQ2ooOXLIgRjFt4m7C2A20,0x882c9783a23664ad:0x6d03b6b09b785b8c,lococowellnessclinic.ca,daniel@levare.ca,https://www.instagram.com/lococowellnessclinic,https://www.facebook.com/lococowellnessclinic/,https://lococowellnessclinic.janeapp.com/,True,4,56,0
Supernatural,Wellness center,"Medical spa, Wellness center",+1 647-930-7737,https://www.hellosupernatural.com/,"101 Locke St S #5, Hamilton, ON L8P 4A6",101 Locke St S #5,Hamilton,Ontario,L8P 4A6,Canada,CA,4.9,65,OPERATIONAL,"{""Monday"": [""9a.m.-7p.m.""], ""Tuesday"": [""10a.m.-7p.m.""], ""Wednesday"": [""10a.m.-7p.m.""], ""Thursday"": [""10a.m.-7p.m.""], ""Friday"": [""10a.m.-7p.m.""], ""Saturday"": [""9a.m.-5p.m.""], ""Sunday"": [""10a.m.-5p.m.""]}",,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.2576821,-79.8844452,ChIJ__8Pv3qbLIgRNcKFZlQkuy4,0x882c9b7abf0fffff:0x2ebb24546685c235,hellosupernatural.com,hello@hellosupernatural.com,https://instagram.com/hello_supernatural,,,True,12,63,1
Anima Med Spa,Medical spa,"Medical spa, Beauty salon, Facial spa, Health spa, Laser hair removal service, Skin care clinic, Spa, Tattoo removal service",+1 437-770-9296,https://www.animamedspa.com/,"2885 Lake Shore Blvd W, Etobicoke, ON M8V 1J1",2885 Lake Shore Blvd W,CA,Ontario,M8V 1J1,Canada,CA,4.5,31,OPERATIONAL,"{""Monday"": [""10a.m.-6p.m.""], ""Tuesday"": [""10a.m.-6p.m.""], ""Wednesday"": [""10a.m.-6p.m.""], ""Thursday"": [""10a.m.-6p.m.""], ""Friday"": [""10a.m.-6p.m.""], ""Saturday"": [""10a.m.-6p.m.""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Skincare treatments"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Membership"": true, ""Online scheduling"": true, ""Washroom"": true, ""Restaurant"": false}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Parking"": {""Paid parking lot"": true, ""Paid street parking"": true}, ""Other"": {""Identifies as women-owned"": true}}",43.6008677,-79.5037287,ChIJryGZvq9JK4gRu5E7oEQ2KYs,0x882b49afbe9921af:0x8b293644a03b91bb,animamedspa.com,info@animamedspa.com,,,https://www.fresha.com/book-now/anima-medspa-pbevludw/all-offer?id=2791966&pId=2700299&rwg_token=AFd1xnFELcmtmrk2zRtmnPTBaUvYqwxSKvOrht1ZW0nuPBPlJyBYeF8Ey8mVpTfISS5bZYAydbhZvxtZKa8VEfsjtM8KHjxb3j5kRuzc9flChWrZsPV_U64%3D,True,20,27,0
Longév Clinic,Naturopathic practitioner,"Naturopathic practitioner, Acupuncturist, Chiropractor, IV therapy service, Lymph drainage therapist, Massage therapist, Women's health clinic, Osteopath, Pediatric clinic, Weight loss service",+1 416-594-9994,http://www.longevclinictoronto.com/,"Longév Clinic, 493 King St E, Toronto, ON M5A 1L9","Longév Clinic, 493 King St E",Toronto,Ontario,M5A 1L9,Canada,CA,5,105,OPERATIONAL,"{""Monday"": [""10a.m.-6p.m.""], ""Tuesday"": [""10a.m.-6p.m.""], ""Wednesday"": [""10a.m.-6p.m.""], ""Thursday"": [""10a.m.-6p.m.""], ""Friday"": [""10a.m.-6p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": false, ""Wheelchair-accessible parking lot"": false, ""Wheelchair-accessible washroom"": false}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.6545299,-79.3599694,ChIJE_ILRAXL1IkR7KlZnRdPx4E,0x89d4cb05440bf213:0x81c74f179d59a9ec,longevclinictoronto.com,info@longevclinictoronto.com,https://www.instagram.com/longev.clinic,https://www.facebook.com/longev.clinic/,https://longevclinic.janeapp.com/locations/longev-clinic/book?rwg_token=AFd1xnHWM6S-0Yd1IKYUlsMlLfjqYAYhmpqphl3jT7YepPNt6CIIPPosgZFHUbXSazwD_iimqk7Vjwa85hkztzOkTEFy9mJAeDbHWxDTv6-Uft9SR3I6DLE%3D,True,20,105,0
